category,url,text
Scraping,https://www.sfchronicle.com/projects/2022/sf-sro-evictions/,S.F. leaders have set up some of the most vulnerable residents to fail.
Data analysis,https://www.jsonline.com/in-depth/news/2022/01/26/prenatal-care-businesses-grow-under-cloud-fraud-infant-mortality/6111168001/,Prenatal care services collect millions in taxpayer dollars. Signs of fraud are surging.
Data analysis,https://www.jsonline.com/story/news/investigations/daniel-bice/2021/08/13/us-senate-candidate-alex-lasry-is-bucks-vice-president-dad-is-marc-lasry-worked-in-obama-white-house/5459367001/,Alex Lasry's silver-spoon upbringing includes $50 million-plus trust.
Data analysis,https://www.jsonline.com/story/news/investigations/daniel-bice/2021/08/24/u-s-senate-candidate-godlewski-paid-no-state-income-taxes-2-years/8212403002/,Sarah Godlewski paid no state income tax despite being worth millions.
Graphic,https://www.jsonline.com/story/sports/nba/bucks/2019/06/24/one-respect-wisconsin-made-mvp-history-giannis-getting-honored/1507314001/,Wisconsin is now officially the pro-sports MVP capital of the United States.
Data analysis,https://www.jsonline.com/story/news/education/2020/10/15/wisconsins-2020-21-public-school-enrollment-drops-amid-covid-19/3652161001/,Parents pulling kids from public school during COVID-19 leads to big enrollment drops.
Scraping,https://www.jsonline.com/story/news/2020/09/14/social-media-after-kenosha-experts-say-malicious-bots-among-them-rittenhouse-blake-protests-riots/5765808002/,People flooded social media after Kenosha. Experts say malicious bots were likely among them.
Graphic,https://www.jsonline.com/story/news/2020/08/26/kenosha-shooting-details-videos-show-scenes-wisconsin-protest/3442031001/,Social media videos show what happened during Kenosha's deadly protest shooting.
Data analysis,https://www.jsonline.com/story/news/politics/2021/08/12/census-wisconsin-grows-modestly-while-milwaukee-drops-1930-s-levels/8110913002/,Wisconsin grows modestly and more diverse while Milwaukee falls to 1930s levels.
Graphic,https://www.jsonline.com/story/news/politics/elections/2020/10/16/swing-state-3-10-wisconsin-communities-voted-obama-and-trump/3642769001/,3 in 10 Wisconsin communities voted for Obama and Trump. How will they swing this time?
Data analysis,https://www.jsonline.com/story/news/2020/11/25/wisconsins-local-health-officials-get-resistance-covid-19/6326707002/,Chaos and resistance to COVID-19 measures hinder Wisconsin's response.
Data analysis,https://www.jsonline.com/story/news/2020/04/29/coronavirus-wisconsin-no-bump-election-but-concerns-remain/3039357001/,"Voting didn't lead to spike in COVID-19, but concerns remain."
